symbol,launch_date,first_price,last_price_24h,performance_24h,max_gain_24h,max_loss_24h,high_24h,low_24h,total_volume_24h,candles_count
TAKEUSDT,2025-09-03 16:30:00,0.12,0.18207,51.72500000000001,73.90833333333333,-8.33333333333333,0.20869,0.11,3005401346.0,24
XPINUSDT,2025-09-12 13:30:00,0.001915,0.001693,-11.592689295039163,22.193211488250654,-17.295039164490863,0.00234,0.0015838,60973234244.0,24
WCTUSDT,2025-04-15 16:30:00,0.342,0.4289,25.409356725146193,55.935672514619874,-19.415204678362578,0.5333,0.2756,3720385012.0,24
BULLAUSDT,2025-07-04 14:30:00,0.12,0.0754,-37.16666666666667,17.08333333333335,-40.166666666666664,0.1405,0.0718,1605720660.0,24
CGPTUSDT,2024-12-21 00:30:00,0.22,0.27111,23.23181818181819,28.613636363636353,-4.545454545454549,0.28295,0.21,334051545.0,24
HYPERUSDT,2025-04-22 18:30:00,0.256,0.2742,7.109374999999997,43.20312499999999,-8.9453125,0.3666,0.2331,2506540419.0,24
SONICUSDT,2025-01-08 12:30:00,0.9477,0.8072,-14.825366677218524,8.979634905560827,-17.03070591959481,1.0328,0.7863,409648416.5,24
KAITOUSDC,2025-03-05 15:30:00,1.8584,1.6972,-8.674128282393458,1.1676711149375836,-9.95479982780887,1.8801,1.6734,3632460.1999999997,24
AVNTUSDT,2025-09-09 20:30:00,0.2451,0.33054,34.859241126070984,48.50265197878417,-28.600571195430447,0.36398,0.175,2825604283.0,24
CUSDT,2025-07-15 14:30:00,0.16464,0.20991,27.496355685131196,62.943391642371225,-1.8768221574344082,0.26827,0.16155,2610293784.0,24
VVVUSDT,2025-01-29 13:30:00,10.636,7.44,-30.04889056036103,2.4821361414065546,-31.675441895449406,10.9,7.267,25854531.590000004,24
QUSDT,2025-09-02 12:30:00,0.0092,0.009785,6.3586956521739175,43.43478260869565,-10.81521739130434,0.013196,0.008205,39726884712.0,24
TAUSDT,2025-07-21 12:30:00,0.1303,0.1059,-18.726016884113587,39.44742900997697,-22.563315425940132,0.1817,0.1009,1779865621.0,24
MITOUSDT,2025-08-28 21:30:00,0.10499,0.251,139.07038765596724,211.5725307172112,-9.515191923040287,0.32712,0.095,5522775298.0,24
PUNDIXUSDT,2025-04-30 15:30:00,0.58,0.4868,-16.06896551724137,0.0,-20.98275862068965,0.58,0.4583,165538228.0,24
COOKIEUSDT,2025-01-07 16:30:00,0.6386,0.5716,-10.491700595051668,10.429063576573771,-16.207328531161906,0.7052,0.5351,245409660.0,24
EPTUSDT,2025-04-21 18:30:00,0.0178,0.012473,-29.926966292134832,4.016853932584271,-33.426966292134836,0.018515,0.01185,10971417482.0,24
VICUSDT,2025-03-12 22:30:00,0.3342,0.2933,-12.238180730101734,28.366247755834827,-16.96588868940753,0.429,0.2775,897842591.0,24
HYPEUSDT,2025-05-30 15:30:00,33.387,31.04,-7.029682211639264,2.8783658310120663,-7.4939347650283015,34.348,30.885,6451561.7,24
B2USDT,2025-05-06 18:30:00,0.6011,0.5723,-4.791216103809672,16.23689901846615,-7.669272999500902,0.6987,0.555,142005656.0,24
ARIAUSDT,2025-09-03 16:30:00,0.09881,0.09917,0.3643355935634037,50.592045339540526,-1.862159700435173,0.1488,0.09697,1804665253.0,24
BANKUSDT,2025-04-18 23:30:00,0.04,0.04472,11.800000000000004,47.154999999999994,0.0,0.058862,0.04,5030354832.0,24
SPKUSDT,2025-06-17 14:30:00,0.0619,0.05285,-14.620355411954758,9.04684975767368,-21.32471728594507,0.0675,0.0487,23517009180.0,24
HAEDALUSDT,2025-05-01 08:30:00,0.106,0.125304,18.211320754716983,25.47169811320756,-2.48396226415094,0.133,0.103367,1397659146.0,24
OGUSDT,2025-05-12 14:30:00,5.596,5.164,-7.7197998570407504,6.254467476769114,-10.721944245889915,5.946,4.996,9256342.1,24
AIXBTUSDT,2024-12-20 23:30:00,0.2585,0.3333,28.936170212765948,46.99032882011604,0.0,0.37997,0.2585,471447817.0,24
PROMUSDT,2025-01-15 17:30:00,8.32,8.138,-2.1875000000000044,12.175480769230768,-9.903846153846152,9.333,7.496,10745765.0,24
PNUTUSDC,2025-03-07 15:30:00,0.196,0.18879,-3.6785714285714253,0.5918367346938747,-7.607142857142859,0.19716,0.18109,7181099.0,24
PORT3USDT,2025-06-04 13:30:00,0.04831,0.05229,8.238459946180924,15.048644173049055,-1.4696750155247265,0.05558,0.0476,1665691965.0,24
HOLOUSDT,2025-09-11 17:30:00,0.71,0.4511,-36.46478873239437,21.126760563380287,-41.22535211267605,0.86,0.4173,1947929859.0,24
PROVEUSDT,2025-08-05 22:30:00,0.76,1.0906,43.5,103.94736842105263,-32.75,1.55,0.5111,1839094476.8999999,24
IDOLUSDT,2025-07-04 14:30:00,0.0152,0.01386,-8.815789473684205,24.999999999999996,-19.07894736842105,0.019,0.0123,10992729953.0,24
USELESSUSDT,2025-08-15 17:30:00,0.3299,0.3146,-4.63776902091544,6.97180963928462,-17.24765080327372,0.3529,0.273,532685537.0,24
BTCUSDT_251226,2025-06-27 13:30:00,114888.0,110494.3,-3.824333263700297,0.0,-10.695634008773762,114888.0,102600.0,159.35500000000002,24
DAMUSDT,2025-08-18 17:30:00,0.09221,0.07882,-14.521201605031992,37.18685608936124,-14.803166684741345,0.1265,0.07856,3227651823.0,24
WALUSDT,2025-03-27 20:30:00,0.491,0.4788,-2.4847250509164946,22.158859470468435,-15.88594704684318,0.5998,0.413,854132291.0,24
AUSDT,2025-05-28 13:30:00,0.74775,0.74001,-1.0351053159478543,6.185222333667671,-3.8542293547308684,0.794,0.71893,122299840.0,24
BRUSDT,2025-03-21 17:30:00,0.1696,0.1831,7.959905660377366,15.33018867924528,-7.841981132075475,0.1956,0.1563,296113443.0,24
ZEREBROUSDT,2025-01-02 19:30:00,0.6778,0.5991,-11.61109471820596,8.114488049572152,-12.938920035408676,0.7328,0.5901,130763876.0,24
HIVEUSDT,2024-12-23 16:30:00,0.37638,0.35301,-6.209150326797387,3.3051703066050284,-10.595674584196816,0.38882,0.3365,227710333.0,24
OLUSDT,2025-06-25 16:30:00,0.033,0.03107,-5.848484848484851,23.30303030303029,-8.30303030303031,0.04069,0.03026,2534336116.0,24
PLAYUSDT,2025-07-31 14:30:00,0.03972,0.03459,-12.915407854984885,5.438066465256804,-23.539778449144002,0.04188,0.03037,3808225367.0,24
PLUMEUSDT,2025-03-21 18:30:00,0.2024,0.1781,-12.005928853754936,0.7905138339920901,-13.043478260869568,0.204,0.176,136212377.0,24
CROSSUSDT,2025-07-10 15:30:00,0.133,0.19174,44.165413533834574,125.39849624060149,-13.04511278195489,0.29978,0.11565,1012528870.0,24
HUMAUSDT,2025-05-26 18:30:00,0.08413,0.061604,-26.775228812551997,18.74479971472722,-29.03839296327112,0.0999,0.0597,10593382057.0,24
GUNUSDT,2025-03-31 18:30:00,0.1145,0.0647,-43.4934497816594,1.3100436681222718,-44.45414847161572,0.116,0.0636,10970414500.0,24
